epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.54072,5.52786,4.06462,4.03428,0.00066,0.01151,0.00202,0.0006,5.23438,3.56464,3.40588,0.0883,0.0013,0.0013
2,6.63774,4.15372,3.30412,2.99093,0.01023,0.17907,0.0141,0.00409,3.59736,3.43036,2.43492,0.0756911,0.00269109,0.00269109
3,9.74263,3.28214,2.68728,2.2013,0.01064,0.18624,0.01044,0.00349,3.4755,3.21418,2.38123,0.0630729,0.00407294,0.00407294
4,12.6048,2.82989,2.3318,1.9348,0.01547,0.27066,0.03718,0.01296,2.8813,2.79198,2.11456,0.0504455,0.00544555,0.00544555
5,15.5525,2.65453,2.29895,1.8174,0.03069,0.28888,0.05474,0.01677,2.70276,2.48952,1.93979,0.0378089,0.00680892,0.00680892
6,18.5374,2.6095,2.1889,1.73419,0.07412,0.12024,0.08347,0.03188,2.42984,2.14887,1.73104,0.0251631,0.00816305,0.00816305
7,21.4645,2.53367,2.21297,1.7111,0.0787,0.27535,0.10005,0.0401,2.29762,2.47598,1.6564,0.0125079,0.00950794,0.00950794
8,24.3945,2.46682,2.21161,1.61853,0.11759,0.22104,0.12563,0.05004,2.24429,2.01809,1.59121,0.009769,0.009769,0.009769
9,27.3149,2.38901,2.08011,1.56449,0.19506,0.20241,0.1575,0.05921,2.23112,2.14227,1.55145,0.009736,0.009736,0.009736
10,30.259,2.30955,2.09047,1.54105,0.16184,0.19648,0.14101,0.0501,2.41593,2.17958,1.65485,0.009703,0.009703,0.009703
11,33.0557,2.32014,2.00902,1.52546,0.5312,0.2125,0.16831,0.0629,2.24631,2.01625,1.56757,0.00967,0.00967,0.00967
12,35.9883,2.22761,1.99997,1.47086,0.16937,0.26942,0.18714,0.07157,2.23089,1.93815,1.55256,0.009637,0.009637,0.009637
13,38.9241,2.2118,1.93467,1.45343,0.49022,0.21739,0.15694,0.06174,2.11605,1.97792,1.49405,0.009604,0.009604,0.009604
14,41.7025,2.18806,1.92031,1.44169,0.19646,0.23019,0.17807,0.07387,2.09335,1.93075,1.47841,0.009571,0.009571,0.009571
15,44.6101,2.18413,1.88649,1.4425,0.49451,0.21963,0.17758,0.0713,2.13729,2.00871,1.50179,0.009538,0.009538,0.009538
16,47.3858,2.16808,1.82353,1.39986,0.51289,0.22458,0.20142,0.08374,2.05758,1.86243,1.45083,0.009505,0.009505,0.009505
17,50.3207,2.13388,1.83789,1.38824,0.20176,0.29651,0.21823,0.09144,2.07743,1.80798,1.46787,0.009472,0.009472,0.009472
18,53.2379,2.10275,1.82397,1.40604,0.53038,0.20201,0.19747,0.08447,2.0093,1.86982,1.43784,0.009439,0.009439,0.009439
19,56.0328,2.0657,1.79379,1.36969,0.5876,0.25413,0.22605,0.09549,1.99797,1.8236,1.43091,0.009406,0.009406,0.009406
20,58.9344,2.09171,1.79229,1.38626,0.20215,0.24944,0.21003,0.0872,1.98439,1.88338,1.4256,0.009373,0.009373,0.009373
21,61.7187,2.02765,1.84109,1.36443,0.22819,0.26132,0.21853,0.09373,1.95873,1.98963,1.40681,0.00934,0.00934,0.00934
22,64.4466,2.03947,1.78802,1.37042,0.54246,0.21197,0.17846,0.0774,2.07333,2.10461,1.48276,0.009307,0.009307,0.009307
23,67.2144,2.03039,1.78418,1.37219,0.57857,0.28981,0.24473,0.10459,1.99642,1.81894,1.43506,0.009274,0.009274,0.009274
24,70.1448,2.04547,1.74508,1.37096,0.54444,0.29126,0.22857,0.1022,1.9242,1.84387,1.38437,0.009241,0.009241,0.009241
25,72.9044,2.01425,1.74679,1.35129,0.55972,0.26337,0.23381,0.09934,1.95689,1.84598,1.38394,0.009208,0.009208,0.009208
26,75.6781,2.0177,1.72788,1.35952,0.23654,0.30543,0.24658,0.11067,1.94823,1.85747,1.40957,0.009175,0.009175,0.009175
27,78.5824,1.99912,1.68352,1.35858,0.3073,0.34024,0.27121,0.12148,1.90872,1.74993,1.39203,0.009142,0.009142,0.009142
28,81.5375,2.00633,1.69069,1.35154,0.28629,0.39365,0.27373,0.11656,1.96592,1.87234,1.40665,0.009109,0.009109,0.009109
29,84.2946,1.99257,1.66101,1.34368,0.35077,0.39928,0.29069,0.12302,1.94008,1.94255,1.39695,0.009076,0.009076,0.009076
30,87.1945,1.9799,1.65503,1.32265,0.33056,0.42364,0.32146,0.14474,1.8866,1.73726,1.36083,0.009043,0.009043,0.009043
31,90.1275,1.9635,1.65146,1.31765,0.347,0.3773,0.31209,0.14372,1.89506,1.79427,1.38733,0.00901,0.00901,0.00901
32,92.8824,1.95284,1.62756,1.33037,0.38575,0.41349,0.34657,0.15657,1.92269,1.76389,1.39912,0.008977,0.008977,0.008977
33,95.8053,1.95857,1.57613,1.31383,0.3626,0.39192,0.332,0.1536,1.90085,1.69832,1.36449,0.008944,0.008944,0.008944
34,98.5504,1.95186,1.57681,1.31294,0.38441,0.45674,0.37662,0.17614,1.85789,1.63784,1.35632,0.008911,0.008911,0.008911
35,101.472,1.93744,1.56029,1.30982,0.39583,0.37566,0.34535,0.15617,1.93498,1.85092,1.40644,0.008878,0.008878,0.008878
36,104.255,1.92824,1.56942,1.30579,0.43956,0.48088,0.41347,0.19669,1.85957,1.6309,1.35452,0.008845,0.008845,0.008845
37,107.183,1.9444,1.55798,1.31602,0.34275,0.50423,0.35794,0.16647,1.90711,1.98003,1.3846,0.008812,0.008812,0.008812
38,109.92,1.88242,1.55817,1.28836,0.44659,0.48709,0.41171,0.19467,1.83297,1.62315,1.33916,0.008779,0.008779,0.008779
39,112.665,1.93564,1.52244,1.30108,0.46754,0.46015,0.42091,0.20136,1.85898,1.59657,1.36142,0.008746,0.008746,0.008746
40,115.593,1.92278,1.52268,1.30978,0.40792,0.4747,0.4007,0.18548,1.89351,1.66433,1.37386,0.008713,0.008713,0.008713
41,118.379,1.9325,1.52706,1.29302,0.43463,0.42701,0.39261,0.18926,1.8465,1.72554,1.34695,0.00868,0.00868,0.00868
42,121.131,1.88835,1.52957,1.28176,0.43482,0.43139,0.40524,0.19774,1.83,1.7183,1.34145,0.008647,0.008647,0.008647
43,123.894,1.91851,1.49907,1.29156,0.3767,0.44703,0.38278,0.1857,1.84611,1.64383,1.34819,0.008614,0.008614,0.008614
44,126.66,1.91147,1.50137,1.29322,0.48302,0.49759,0.45634,0.22088,1.81171,1.58836,1.33028,0.008581,0.008581,0.008581
45,129.58,1.90477,1.48592,1.27825,0.41422,0.39993,0.34591,0.16892,1.88177,1.88058,1.35498,0.008548,0.008548,0.008548
46,132.336,1.89434,1.497,1.29429,0.40376,0.50142,0.40498,0.1931,1.88292,1.66094,1.37568,0.008515,0.008515,0.008515
47,135.104,1.89471,1.48234,1.28914,0.43228,0.44364,0.40196,0.18652,1.90223,1.69791,1.39458,0.008482,0.008482,0.008482
48,137.891,1.88766,1.45758,1.27431,0.43772,0.51765,0.43088,0.20139,1.88107,1.65143,1.36853,0.008449,0.008449,0.008449
49,140.663,1.88078,1.43585,1.27109,0.49726,0.47794,0.47643,0.23193,1.91873,1.59108,1.38978,0.008416,0.008416,0.008416
50,143.594,1.8653,1.45846,1.27907,0.4741,0.51827,0.46253,0.22794,1.86118,1.54189,1.35682,0.008383,0.008383,0.008383
51,146.335,1.87758,1.47367,1.2804,0.42709,0.42894,0.38238,0.18984,1.8518,1.7473,1.34624,0.00835,0.00835,0.00835
52,149.106,1.86868,1.41779,1.274,0.46408,0.51564,0.47502,0.23864,1.79793,1.49047,1.3198,0.008317,0.008317,0.008317
53,151.988,1.87099,1.44281,1.28822,0.54596,0.46335,0.47941,0.25323,1.81081,1.50025,1.33519,0.008284,0.008284,0.008284
54,154.893,1.85329,1.431,1.27084,0.42253,0.46542,0.40317,0.20126,1.8157,1.63302,1.32864,0.008251,0.008251,0.008251
55,157.619,1.85207,1.4192,1.25697,0.48599,0.54601,0.48524,0.24577,1.77671,1.49004,1.31592,0.008218,0.008218,0.008218
56,160.381,1.84713,1.43175,1.27208,0.55014,0.48833,0.48618,0.24647,1.82846,1.51231,1.33399,0.008185,0.008185,0.008185
