epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.78455,5.60789,4.69263,4.25956,0,0,0,0,5.82009,4.15995,4.09404,0.0883,0.0013,0.0013
2,5.26307,5.24806,4.25238,4.04593,0,0,0,0,5.70109,3.88792,3.89813,0.0756911,0.00269109,0.00269109
3,7.67511,4.31865,3.38306,3.34197,0.00071,0.00767,0.00036,9e-05,5.57325,3.70241,3.72984,0.0630729,0.00407294,0.00407294
4,9.91332,3.13157,2.54324,2.50786,0.00099,0.01074,0.00051,0.00012,5.50713,3.71988,3.66778,0.0504455,0.00544555,0.00544555
5,11.9198,2.86035,2.31121,2.22845,0.00149,0.0064,0.00076,0.00017,5.32648,3.74902,3.55374,0.0378089,0.00680892,0.00680892
6,14.0041,2.6867,2.17051,2.01546,0.01557,0.15909,0.02421,0.00892,3.45591,3.46593,2.78788,0.0251631,0.00816305,0.00816305
7,16.2119,2.58993,2.09073,1.93867,0.79339,0.1329,0.13316,0.0445,2.47679,2.3357,1.91149,0.0125079,0.00950794,0.00950794
8,18.3026,2.49158,2.04034,1.80737,0.48571,0.1613,0.13393,0.04727,2.42365,2.28324,1.8452,0.009769,0.009769,0.009769
9,20.4166,2.40024,1.9837,1.72517,0.20404,0.23506,0.17014,0.06327,2.26522,2.04215,1.79247,0.009736,0.009736,0.009736
10,22.4921,2.30553,1.9576,1.69763,0.21847,0.22467,0.18364,0.0714,2.34622,2.00284,1.78874,0.009703,0.009703,0.009703
11,24.6916,2.25349,1.94393,1.64413,0.22414,0.26917,0.19849,0.07793,2.35194,1.9787,1.85368,0.00967,0.00967,0.00967
12,26.747,2.2363,1.8567,1.6062,0.22142,0.30653,0.22183,0.08945,2.18476,1.89994,1.68117,0.009637,0.009637,0.009637
13,28.894,2.22384,1.82842,1.57405,0.15595,0.20194,0.12532,0.04965,2.21561,2.24766,1.68198,0.009604,0.009604,0.009604
14,31.0476,2.17974,1.85097,1.55922,0.21559,0.297,0.21015,0.08436,2.1833,1.90661,1.64472,0.009571,0.009571,0.009571
15,33.0839,2.13381,1.82032,1.54084,0.24618,0.25877,0.22125,0.0925,2.11473,1.87826,1.59165,0.009538,0.009538,0.009538
16,35.1813,2.12768,1.78895,1.49156,0.61044,0.25856,0.24242,0.10509,2.04997,1.7868,1.56414,0.009505,0.009505,0.009505
17,37.3196,2.08054,1.77986,1.45206,0.24544,0.29505,0.24085,0.10529,2.02947,1.9369,1.53872,0.009472,0.009472,0.009472
18,39.5178,2.08616,1.76582,1.49968,0.56597,0.29146,0.24068,0.1051,1.98929,1.7511,1.52801,0.009439,0.009439,0.009439
19,41.6599,2.04495,1.72852,1.4646,0.23195,0.26787,0.22385,0.09573,2.07263,1.90711,1.55907,0.009406,0.009406,0.009406
20,43.7677,2.06591,1.74267,1.48208,0.36026,0.27192,0.24285,0.1117,1.97871,1.76166,1.50986,0.009373,0.009373,0.009373
21,45.921,2.05003,1.73648,1.46903,0.2427,0.24561,0.21586,0.09177,2.04944,1.9392,1.52826,0.00934,0.00934,0.00934
22,47.9514,2.03274,1.71558,1.46476,0.21441,0.22657,0.17195,0.07569,2.191,2.03151,1.66431,0.009307,0.009307,0.009307
23,50.1128,2.01017,1.66814,1.47362,0.31052,0.28614,0.2455,0.10171,2.0367,1.93891,1.53693,0.009274,0.009274,0.009274
24,52.1772,2.01536,1.64389,1.45412,0.31908,0.38241,0.29481,0.13254,1.92432,1.66925,1.4793,0.009241,0.009241,0.009241
25,54.4231,2.00881,1.62437,1.45237,0.30048,0.40166,0.26175,0.11632,2.00754,2.48658,1.50885,0.009208,0.009208,0.009208
26,56.4775,1.98969,1.60971,1.43951,0.346,0.38185,0.29037,0.12683,2.06624,1.9233,1.54589,0.009175,0.009175,0.009175
27,58.5572,1.98139,1.57887,1.44861,0.34221,0.48893,0.36119,0.16582,1.99841,1.92821,1.51283,0.009142,0.009142,0.009142
28,60.5988,1.98384,1.56262,1.42452,0.38414,0.48915,0.3785,0.17476,1.92675,1.73605,1.48187,0.009109,0.009109,0.009109
29,62.6537,1.9761,1.55397,1.41897,0.45555,0.43062,0.36831,0.17527,1.91177,1.67789,1.46317,0.009076,0.009076,0.009076
30,64.7515,1.95884,1.51865,1.40613,0.45015,0.42839,0.37857,0.16614,1.94579,1.72251,1.48461,0.009043,0.009043,0.009043
31,66.8341,1.94905,1.53733,1.4113,0.48324,0.36128,0.39353,0.18372,1.89142,1.77703,1.45302,0.00901,0.00901,0.00901
32,68.996,1.93245,1.51832,1.41795,0.40897,0.43479,0.38464,0.17163,1.99363,1.67272,1.50193,0.008977,0.008977,0.008977
33,71.0697,1.92858,1.48746,1.38014,0.46822,0.40273,0.38671,0.18503,1.84739,1.81185,1.41243,0.008944,0.008944,0.008944
34,73.1041,1.92732,1.46732,1.3953,0.47722,0.35747,0.33955,0.16319,1.87063,1.71303,1.45369,0.008911,0.008911,0.008911
35,75.1965,1.91737,1.48012,1.39332,0.48549,0.47467,0.43246,0.20509,1.89623,1.56284,1.46056,0.008878,0.008878,0.008878
36,77.2443,1.91684,1.4676,1.39287,0.40317,0.51465,0.38103,0.18581,1.83709,1.68117,1.41194,0.008845,0.008845,0.008845
37,79.3373,1.92044,1.50122,1.40924,0.44039,0.51938,0.44301,0.22363,1.83088,1.57218,1.42109,0.008812,0.008812,0.008812
38,81.3768,1.87908,1.46181,1.37201,0.46811,0.48944,0.45344,0.21878,1.85291,1.55359,1.43641,0.008779,0.008779,0.008779
39,83.3951,1.90997,1.45423,1.38602,0.43957,0.47459,0.42256,0.20621,1.87045,1.59129,1.44188,0.008746,0.008746,0.008746
40,85.5285,1.90174,1.47117,1.3925,0.40035,0.46219,0.4247,0.21065,1.85592,1.64079,1.42846,0.008713,0.008713,0.008713
41,87.6286,1.90425,1.45025,1.37119,0.46704,0.48866,0.45574,0.22465,1.86235,1.55363,1.43099,0.00868,0.00868,0.00868
42,89.7254,1.88301,1.44748,1.37284,0.43252,0.46002,0.36964,0.17601,1.84746,1.80907,1.4246,0.008647,0.008647,0.008647
43,91.766,1.89364,1.44219,1.37627,0.33644,0.46284,0.38297,0.1889,1.81405,1.74506,1.40789,0.008614,0.008614,0.008614
44,93.8103,1.88756,1.4252,1.37025,0.4678,0.50463,0.45269,0.22171,1.77564,1.54991,1.3788,0.008581,0.008581,0.008581
45,95.9059,1.87999,1.40667,1.35426,0.3491,0.4764,0.30227,0.14219,1.91117,1.9942,1.45937,0.008548,0.008548,0.008548
46,97.9654,1.87473,1.44064,1.38033,0.48921,0.55886,0.50934,0.25257,1.82795,1.44988,1.42078,0.008515,0.008515,0.008515
47,100.133,1.87213,1.42689,1.36881,0.4525,0.51416,0.42921,0.21532,1.8248,1.60141,1.4122,0.008482,0.008482,0.008482
48,102.2,1.85073,1.39208,1.34351,0.52323,0.50194,0.50699,0.25074,1.81561,1.50473,1.40109,0.008449,0.008449,0.008449
49,104.253,1.86473,1.37969,1.35457,0.51877,0.52632,0.50363,0.25613,1.80548,1.41802,1.406,0.008416,0.008416,0.008416
50,106.283,1.86444,1.38294,1.37254,0.50988,0.45698,0.45539,0.22146,1.87875,1.55876,1.44947,0.008383,0.008383,0.008383
51,108.343,1.874,1.40011,1.38083,0.45707,0.51232,0.44629,0.21892,1.83072,1.5331,1.42744,0.00835,0.00835,0.00835
52,110.443,1.855,1.38058,1.35424,0.51865,0.55051,0.51772,0.26271,1.77735,1.41172,1.38216,0.008317,0.008317,0.008317
53,112.477,1.85697,1.37827,1.36463,0.54097,0.51903,0.50306,0.25578,1.7973,1.47699,1.39097,0.008284,0.008284,0.008284
54,114.614,1.8408,1.3685,1.35366,0.53356,0.52636,0.5125,0.26022,1.76823,1.43068,1.3792,0.008251,0.008251,0.008251
55,116.636,1.8571,1.37886,1.34593,0.40449,0.48211,0.43359,0.21194,1.77998,1.59383,1.39254,0.008218,0.008218,0.008218
56,118.677,1.83455,1.38689,1.35814,0.46658,0.53947,0.46497,0.23278,1.7994,1.5524,1.39225,0.008185,0.008185,0.008185
57,120.711,1.84241,1.36477,1.34294,0.48865,0.50248,0.46471,0.23441,1.8487,1.57877,1.44105,0.008152,0.008152,0.008152
58,122.73,1.83644,1.38699,1.33788,0.55301,0.51074,0.47407,0.23897,1.78253,1.49274,1.38459,0.008119,0.008119,0.008119
59,124.809,1.83225,1.34455,1.34645,0.49764,0.48814,0.49081,0.25729,1.78451,1.51694,1.3826,0.008086,0.008086,0.008086
60,126.86,1.84484,1.37716,1.37373,0.54724,0.54958,0.53227,0.27182,1.79495,1.46366,1.39023,0.008053,0.008053,0.008053
61,129.036,1.83396,1.35074,1.36145,0.55904,0.55506,0.52366,0.27156,1.75932,1.4208,1.37792,0.00802,0.00802,0.00802
62,131.02,1.84865,1.33689,1.35268,0.55162,0.57671,0.54755,0.27904,1.76518,1.39037,1.38023,0.007987,0.007987,0.007987
63,133.114,1.82422,1.34337,1.33257,0.56456,0.54581,0.51863,0.26732,1.78149,1.39364,1.38806,0.007954,0.007954,0.007954
64,135.138,1.82804,1.33858,1.34108,0.54801,0.47303,0.50753,0.25752,1.78208,1.43867,1.39145,0.007921,0.007921,0.007921
65,137.14,1.82568,1.33694,1.34571,0.51336,0.54023,0.52396,0.26197,1.77144,1.42315,1.3789,0.007888,0.007888,0.007888
66,139.194,1.82189,1.32966,1.35589,0.5684,0.53538,0.55416,0.28461,1.76749,1.32921,1.37923,0.007855,0.007855,0.007855
67,141.255,1.83089,1.31307,1.33247,0.46926,0.49695,0.48817,0.24329,1.78474,1.54549,1.38428,0.007822,0.007822,0.007822
68,143.302,1.81381,1.33079,1.35615,0.53495,0.58074,0.5408,0.27769,1.75448,1.38931,1.3622,0.007789,0.007789,0.007789
69,145.424,1.8254,1.33896,1.34842,0.56571,0.51096,0.5374,0.28183,1.71758,1.34468,1.3459,0.007756,0.007756,0.007756
70,147.448,1.81174,1.30924,1.34033,0.58761,0.54889,0.55204,0.287,1.749,1.3382,1.36449,0.007723,0.007723,0.007723
71,149.566,1.81687,1.30198,1.31485,0.51859,0.54787,0.49837,0.251,1.74639,1.41227,1.3568,0.00769,0.00769,0.00769
72,151.622,1.80584,1.30615,1.32627,0.56025,0.54686,0.55296,0.29085,1.73053,1.34741,1.35905,0.007657,0.007657,0.007657
73,153.957,1.79967,1.30634,1.32477,0.55675,0.57428,0.57054,0.30369,1.75113,1.32102,1.36488,0.007624,0.007624,0.007624
74,156.065,1.79712,1.28858,1.30774,0.56583,0.54414,0.55203,0.29503,1.74353,1.41431,1.35946,0.007591,0.007591,0.007591
75,158.25,1.80595,1.28616,1.32198,0.55297,0.5365,0.55514,0.28442,1.76397,1.35265,1.37881,0.007558,0.007558,0.007558
76,160.417,1.80269,1.28765,1.32695,0.50267,0.56671,0.54114,0.28234,1.7425,1.46902,1.35142,0.007525,0.007525,0.007525
77,162.527,1.80074,1.28963,1.3156,0.54327,0.57047,0.5807,0.30206,1.73539,1.39328,1.35095,0.007492,0.007492,0.007492
78,164.564,1.76963,1.26424,1.31766,0.56177,0.54465,0.56536,0.29034,1.78092,1.36591,1.38518,0.007459,0.007459,0.007459
79,166.563,1.76554,1.25868,1.33353,0.52828,0.64203,0.57606,0.30508,1.73921,1.29078,1.35916,0.007426,0.007426,0.007426
80,168.607,1.79772,1.277,1.32445,0.53041,0.61159,0.57146,0.30698,1.71939,1.33718,1.34703,0.007393,0.007393,0.007393
81,170.658,1.7772,1.2501,1.33556,0.59842,0.57526,0.58283,0.31828,1.71939,1.30307,1.34944,0.00736,0.00736,0.00736
82,172.737,1.78457,1.25224,1.32574,0.55367,0.58414,0.56982,0.29319,1.75685,1.31714,1.36265,0.007327,0.007327,0.007327
83,174.913,1.78711,1.26163,1.31431,0.57154,0.59098,0.584,0.31107,1.72408,1.30488,1.35233,0.007294,0.007294,0.007294
84,177.029,1.78142,1.26579,1.31009,0.5667,0.59587,0.58715,0.30768,1.72624,1.31336,1.34682,0.007261,0.007261,0.007261
85,179.068,1.76581,1.23377,1.3038,0.545,0.52785,0.54321,0.28803,1.77371,1.35115,1.3782,0.007228,0.007228,0.007228
86,181.12,1.77967,1.23876,1.30682,0.61449,0.55143,0.57676,0.30967,1.71626,1.34802,1.33936,0.007195,0.007195,0.007195
87,183.181,1.75303,1.22487,1.32533,0.59047,0.54365,0.5711,0.3073,1.74607,1.35067,1.36503,0.007162,0.007162,0.007162
88,185.262,1.78809,1.25644,1.31453,0.62364,0.53769,0.59132,0.31445,1.72543,1.38302,1.34258,0.007129,0.007129,0.007129
89,187.321,1.77046,1.25282,1.30566,0.60212,0.55184,0.58056,0.30313,1.72162,1.28471,1.34002,0.007096,0.007096,0.007096
90,189.512,1.78872,1.25,1.3181,0.57691,0.53467,0.56622,0.29415,1.75555,1.33438,1.3803,0.007063,0.007063,0.007063
91,191.522,1.77197,1.23277,1.30769,0.58695,0.57405,0.59403,0.31124,1.72902,1.27236,1.36042,0.00703,0.00703,0.00703
92,193.588,1.76622,1.21283,1.3224,0.65195,0.55796,0.60309,0.31547,1.74499,1.26946,1.36146,0.006997,0.006997,0.006997
93,195.622,1.77342,1.23642,1.33513,0.56678,0.58195,0.59668,0.32022,1.71286,1.28961,1.34655,0.006964,0.006964,0.006964
94,197.7,1.75183,1.22306,1.30657,0.61763,0.57436,0.61249,0.32277,1.73591,1.28838,1.36692,0.006931,0.006931,0.006931
95,199.76,1.76435,1.21724,1.31154,0.55712,0.56161,0.5547,0.28184,1.77583,1.34078,1.36054,0.006898,0.006898,0.006898
96,201.825,1.75118,1.20939,1.3121,0.61527,0.5431,0.58505,0.30844,1.71754,1.30401,1.35389,0.006865,0.006865,0.006865
97,203.917,1.75529,1.22582,1.31502,0.57111,0.59977,0.59937,0.31408,1.70428,1.34183,1.33448,0.006832,0.006832,0.006832
98,205.921,1.74887,1.23212,1.30606,0.57013,0.61118,0.57148,0.30268,1.71194,1.29562,1.34036,0.006799,0.006799,0.006799
99,207.968,1.74973,1.20427,1.3124,0.58426,0.59875,0.59774,0.31396,1.75768,1.28905,1.37929,0.006766,0.006766,0.006766
100,209.982,1.7523,1.2102,1.29624,0.56769,0.59969,0.58649,0.31542,1.71356,1.33874,1.33112,0.006733,0.006733,0.006733
101,212.109,1.74225,1.19064,1.29806,0.56579,0.60837,0.59632,0.31759,1.71207,1.2618,1.33372,0.0067,0.0067,0.0067
102,214.143,1.76066,1.18356,1.29764,0.56461,0.56961,0.58955,0.30752,1.72841,1.31928,1.34155,0.006667,0.006667,0.006667
103,216.168,1.75135,1.18996,1.30169,0.59638,0.58031,0.61041,0.32722,1.70496,1.38146,1.33093,0.006634,0.006634,0.006634
104,218.316,1.75296,1.21207,1.30648,0.56076,0.63743,0.60912,0.32341,1.71143,1.29998,1.34044,0.006601,0.006601,0.006601
105,220.37,1.75299,1.18571,1.29402,0.56994,0.59356,0.60611,0.31912,1.71228,1.29615,1.34171,0.006568,0.006568,0.006568
106,222.425,1.73675,1.19557,1.29032,0.59137,0.57834,0.61407,0.32342,1.70531,1.28097,1.33301,0.006535,0.006535,0.006535
107,224.451,1.74353,1.18799,1.30208,0.54367,0.48069,0.51447,0.25527,1.7613,1.45234,1.36904,0.006502,0.006502,0.006502
108,226.551,1.74693,1.1932,1.30247,0.58627,0.6013,0.59235,0.31406,1.73052,1.32737,1.34616,0.006469,0.006469,0.006469
109,228.621,1.73265,1.16677,1.28378,0.59319,0.59585,0.61668,0.32592,1.69287,1.28723,1.32913,0.006436,0.006436,0.006436
110,230.657,1.74428,1.19214,1.30947,0.63018,0.61459,0.64505,0.35142,1.70481,1.2184,1.34032,0.006403,0.006403,0.006403
111,232.866,1.73494,1.17985,1.29404,0.57462,0.58212,0.57982,0.30806,1.73523,1.32137,1.35654,0.00637,0.00637,0.00637
112,234.913,1.70567,1.16657,1.26715,0.58716,0.64332,0.62652,0.34625,1.68063,1.22951,1.32146,0.006337,0.006337,0.006337
113,236.998,1.72918,1.16352,1.29325,0.59276,0.64177,0.63317,0.34549,1.69773,1.19059,1.33282,0.006304,0.006304,0.006304
114,239.026,1.73127,1.16047,1.29108,0.60286,0.59041,0.61596,0.34014,1.68155,1.25232,1.33247,0.006271,0.006271,0.006271
115,241.135,1.73584,1.18202,1.29292,0.56741,0.64124,0.60763,0.32446,1.67659,1.23787,1.32121,0.006238,0.006238,0.006238
116,243.152,1.72203,1.16774,1.29803,0.61412,0.63643,0.63174,0.34043,1.6677,1.21692,1.3125,0.006205,0.006205,0.006205
117,245.19,1.70934,1.13727,1.27315,0.6414,0.62134,0.64307,0.35819,1.65809,1.19937,1.31815,0.006172,0.006172,0.006172
118,247.369,1.72602,1.18256,1.29994,0.6154,0.57151,0.62135,0.3372,1.67553,1.1966,1.32209,0.006139,0.006139,0.006139
119,249.404,1.71419,1.1471,1.27153,0.65844,0.55446,0.62147,0.33023,1.68268,1.28361,1.32242,0.006106,0.006106,0.006106
120,251.436,1.70448,1.14523,1.29169,0.65434,0.54944,0.61974,0.33156,1.70966,1.28165,1.33489,0.006073,0.006073,0.006073
121,253.505,1.73006,1.17616,1.29269,0.60778,0.64823,0.64229,0.35272,1.67523,1.1754,1.31399,0.00604,0.00604,0.00604
122,255.543,1.71033,1.17205,1.29417,0.59138,0.61418,0.62401,0.3331,1.66115,1.25322,1.31494,0.006007,0.006007,0.006007
123,257.593,1.73084,1.16756,1.29368,0.62365,0.62801,0.63552,0.34814,1.67133,1.24738,1.31947,0.005974,0.005974,0.005974
124,259.616,1.71675,1.15943,1.30288,0.64164,0.64023,0.64501,0.34965,1.68287,1.18984,1.31731,0.005941,0.005941,0.005941
125,261.807,1.72696,1.16165,1.26794,0.66158,0.63251,0.64703,0.35233,1.67166,1.19829,1.31672,0.005908,0.005908,0.005908
