               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11876,             0.13722,            0.037243,           0.0039737,            0.052921,           0.0023798,          0.00054139,             0.11364,               0.174,            0.033488,              0.0784,              0.0024,              0.0024
                   1,             0.10443,             0.15334,            0.026771,             0.35236,             0.10053,            0.019633,           0.0045341,             0.10492,             0.29922,            0.033785,            0.055884,           0.0048838,           0.0048838
                   2,            0.089647,             0.13628,            0.020729,            0.062648,            0.088624,            0.043018,           0.0096407,             0.10719,             0.31703,            0.031984,            0.033351,           0.0073512,           0.0073512
                   3,            0.083671,             0.14285,            0.019326,             0.72146,             0.16837,            0.062777,            0.017676,            0.084527,             0.22945,            0.029336,            0.010802,            0.009802,            0.009802
                   4,            0.077703,             0.14869,             0.01866,             0.77776,             0.16887,             0.13613,            0.045605,            0.063349,             0.18127,            0.028587,            0.009868,            0.009868,            0.009868
                   5,             0.06744,             0.15609,            0.018313,             0.78868,             0.18607,              0.1721,            0.058124,            0.060854,             0.16721,            0.028594,            0.009868,            0.009868,            0.009868
                   6,            0.067921,             0.15116,             0.01836,             0.75664,             0.19048,             0.11764,            0.040025,            0.069763,             0.16927,             0.02883,            0.009835,            0.009835,            0.009835
                   7,            0.064492,             0.15135,            0.018747,              0.8011,             0.14153,             0.15553,            0.062415,            0.070128,             0.17258,            0.027782,            0.009802,            0.009802,            0.009802
                   8,            0.064557,             0.14411,            0.017671,              0.7919,             0.20238,             0.19102,            0.080113,            0.057805,             0.15721,            0.026585,            0.009769,            0.009769,            0.009769
                   9,            0.059477,             0.15405,            0.017778,             0.84653,             0.24074,             0.28253,             0.11555,            0.052872,             0.16681,            0.026534,            0.009736,            0.009736,            0.009736
                  10,             0.05592,             0.15199,            0.017619,             0.82833,             0.23413,             0.26321,             0.11638,            0.051299,             0.17392,            0.025584,            0.009703,            0.009703,            0.009703
                  11,             0.05682,              0.1511,            0.016795,             0.18391,              0.4493,             0.32713,             0.14381,            0.047502,             0.16399,             0.02482,             0.00967,             0.00967,             0.00967
                  12,            0.057036,             0.14607,            0.016525,             0.43988,             0.44924,             0.37487,              0.1742,            0.048896,             0.16025,            0.024113,            0.009637,            0.009637,            0.009637
                  13,            0.055813,             0.14293,            0.015326,             0.45019,             0.45442,             0.40452,             0.17507,            0.047452,             0.16928,            0.024732,            0.009604,            0.009604,            0.009604
                  14,            0.055506,             0.14716,            0.015187,             0.35208,             0.52461,             0.43197,             0.19692,            0.047451,              0.1699,            0.022665,            0.009571,            0.009571,            0.009571
                  15,            0.053319,              0.1457,            0.014741,             0.34434,             0.54754,             0.39388,             0.15386,            0.050145,             0.15957,              0.0218,            0.009538,            0.009538,            0.009538
                  16,            0.053203,             0.14994,            0.015053,             0.42038,             0.54578,             0.44508,             0.20477,            0.045936,             0.15774,            0.020336,            0.009505,            0.009505,            0.009505
                  17,            0.052277,             0.14465,            0.014527,             0.42896,             0.56231,             0.46981,             0.22936,            0.044813,             0.16117,            0.019408,            0.009472,            0.009472,            0.009472
                  18,            0.052297,             0.14195,            0.012379,             0.38901,             0.57032,             0.47197,             0.22418,            0.044044,             0.16546,            0.018955,            0.009439,            0.009439,            0.009439
                  19,            0.051421,             0.14781,            0.011321,             0.42323,             0.56423,             0.49032,             0.21822,            0.047082,             0.16303,            0.016461,            0.009406,            0.009406,            0.009406
                  20,            0.051267,             0.13954,            0.011548,             0.42893,             0.56537,             0.47242,             0.23112,            0.044338,             0.16723,            0.016691,            0.009373,            0.009373,            0.009373
                  21,            0.051232,             0.14471,            0.010587,             0.45936,             0.62876,             0.51465,             0.26111,            0.042129,             0.15847,            0.015527,             0.00934,             0.00934,             0.00934
                  22,            0.050716,             0.14287,           0.0099594,             0.47011,             0.57414,             0.50616,             0.24998,            0.043457,             0.16132,             0.01539,            0.009307,            0.009307,            0.009307
                  23,            0.049896,             0.14715,            0.010471,             0.50641,             0.63796,             0.55602,             0.27808,            0.041942,             0.15452,            0.014025,            0.009274,            0.009274,            0.009274
                  24,            0.051519,             0.13943,           0.0097801,             0.47219,             0.64254,             0.54658,             0.27305,             0.04227,             0.15549,            0.014188,            0.009241,            0.009241,            0.009241
                  25,            0.049357,              0.1386,           0.0097174,             0.45359,             0.59865,             0.52354,             0.25315,            0.041866,             0.15964,             0.01668,            0.009208,            0.009208,            0.009208
                  26,            0.049344,             0.13586,           0.0094587,             0.46293,             0.64305,             0.53032,             0.27138,            0.042619,             0.15879,            0.014644,            0.009175,            0.009175,            0.009175
                  27,            0.049581,             0.13957,           0.0095806,             0.50584,             0.61719,             0.54286,             0.26254,             0.04286,             0.16044,            0.014196,            0.009142,            0.009142,            0.009142
                  28,            0.047768,             0.13605,           0.0096856,              0.4924,             0.61541,             0.52429,             0.27432,            0.042127,             0.15878,            0.014254,            0.009109,            0.009109,            0.009109
                  29,            0.047475,             0.13306,           0.0090894,             0.50886,             0.52773,             0.50186,             0.25716,            0.043662,             0.15873,            0.016948,            0.009076,            0.009076,            0.009076
                  30,            0.048548,             0.13669,            0.008557,             0.52428,             0.58751,             0.53407,             0.27137,            0.042409,             0.15746,            0.013448,            0.009043,            0.009043,            0.009043
                  31,             0.04804,             0.13865,           0.0085651,             0.50253,             0.63853,              0.5432,             0.27812,            0.041835,             0.15948,            0.013346,             0.00901,             0.00901,             0.00901
                  32,            0.047044,             0.13639,           0.0086789,             0.50357,              0.6165,             0.54071,             0.28179,            0.040979,             0.15803,            0.014378,            0.008977,            0.008977,            0.008977
