                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.5031,                  4.682,                 4.3075,                      0,                      0,                      0,                      0,                 6.1359,                 3.9711,                 3.9633,                 0.0865,                 0.0015,                 0.0015
                      2,                 4.9155,                 3.7917,                 3.8785,                0.00076,                0.00794,                0.00039,                  9e-05,                 5.8094,                 3.5745,                 3.5963,                0.07209,              0.0030898,              0.0030898
                      3,                 3.4907,                 2.6505,                 2.9377,                0.00163,                 0.0172,                0.00086,                0.00022,                 5.6033,                 3.6841,                 3.4351,               0.057669,               0.004669,               0.004669
                      4,                 2.8673,                 2.1948,                 2.3093,                 0.0023,                0.01543,                0.00121,                0.00037,                 5.3316,                 3.6901,                 3.3011,               0.043238,              0.0062376,              0.0062376
                      5,                 2.6838,                 2.0785,                 2.0722,                0.01953,                 0.3021,                0.10798,                0.03267,                   3.06,                 2.7573,                 2.4357,               0.028796,              0.0077957,              0.0077957
                      6,                 2.6162,                  2.049,                 1.9708,                0.69653,                0.22942,                0.19353,                0.07674,                 2.4844,                 1.8767,                 1.7366,               0.014343,              0.0093433,              0.0093433
                      7,                 2.4887,                 2.0258,                 1.8417,                0.82229,                0.20547,                0.21115,                0.07923,                 2.1722,                 1.7806,                 1.5942,               0.009802,               0.009802,               0.009802
                      8,                 2.4128,                   1.91,                 1.7461,                0.26366,                0.28834,                0.25406,                0.10539,                 2.1522,                 1.7434,                 1.5977,               0.009802,               0.009802,               0.009802
                      9,                 2.3054,                 1.9376,                 1.6569,                0.24217,                0.29328,                0.25239,                0.10849,                 2.0847,                 1.8988,                 1.5078,               0.009769,               0.009769,               0.009769
                     10,                 2.2836,                 1.8656,                 1.6238,                0.25855,                0.31317,                  0.268,                 0.1158,                 2.0397,                 1.8863,                  1.471,               0.009736,               0.009736,               0.009736
                     11,                 2.2271,                  1.809,                 1.5683,                0.25196,                0.34253,                0.28418,                0.12473,                 1.9833,                 1.6856,                 1.4285,               0.009703,               0.009703,               0.009703
                     12,                  2.175,                 1.7783,                 1.5314,                0.63416,                0.31708,                0.30249,                0.12831,                 1.9159,                 1.6332,                 1.3796,                0.00967,                0.00967,                0.00967
                     13,                 2.1712,                 1.7182,                 1.5104,                0.46798,                 0.2969,                0.28019,                0.11038,                 2.0084,                 1.7374,                 1.4399,               0.009637,               0.009637,               0.009637
                     14,                 2.1324,                 1.7242,                 1.5119,                0.35888,                0.34874,                0.28814,                0.11103,                 1.9989,                 1.6319,                 1.4302,               0.009604,               0.009604,               0.009604
                     15,                 2.1077,                 1.6572,                   1.49,                0.58453,                0.35967,                0.32831,                0.15358,                 1.9443,                 1.5838,                 1.3893,               0.009571,               0.009571,               0.009571
                     16,                 2.0925,                  1.625,                 1.4737,                0.42203,                0.46549,                0.42421,                 0.1925,                 1.8445,                 1.5319,                 1.3346,               0.009538,               0.009538,               0.009538
                     17,                 2.0299,                 1.6739,                 1.4685,                0.49149,                0.52432,                0.47735,                 0.2211,                 1.8492,                 1.4665,                 1.3334,               0.009505,               0.009505,               0.009505
                     18,                 2.0641,                 1.6204,                 1.4632,                0.50706,                0.52627,                0.50271,                0.23989,                 1.7868,                 1.4177,                 1.3091,               0.009472,               0.009472,               0.009472
                     19,                 2.0394,                 1.5941,                  1.443,                0.51569,                0.48492,                0.51444,                0.23448,                  1.886,                 1.4348,                 1.3499,               0.009439,               0.009439,               0.009439
                     20,                 2.0492,                 1.5732,                 1.4488,                0.58347,                0.49133,                0.52671,                0.24129,                 1.8134,                 1.3476,                 1.3225,               0.009406,               0.009406,               0.009406
                     21,                 2.0158,                 1.5583,                 1.4224,                0.39962,                0.48155,                0.42821,                0.20433,                 1.7691,                 1.5964,                 1.3063,               0.009373,               0.009373,               0.009373
                     22,                 1.9769,                 1.5241,                 1.4308,                  0.426,                0.50679,                0.43891,                0.19657,                 1.8799,                 1.5988,                 1.3597,                0.00934,                0.00934,                0.00934
                     23,                  1.981,                 1.5041,                 1.4291,                0.37441,                0.53801,                0.37941,                0.18593,                  1.802,                 1.8815,                 1.3208,               0.009307,               0.009307,               0.009307
                     24,                 1.9581,                  1.506,                 1.4224,                 0.5012,                0.55906,                0.53637,                0.24853,                 1.8028,                 1.3921,                 1.3049,               0.009274,               0.009274,               0.009274
                     25,                  1.965,                 1.4794,                 1.4122,                0.47231,                0.56722,                0.55917,                0.23909,                 2.0387,                 1.5395,                 1.4256,               0.009241,               0.009241,               0.009241
                     26,                 1.9559,                 1.4611,                 1.4052,                 0.5475,                0.54157,                0.53241,                0.24155,                 1.8639,                 1.4724,                 1.3567,               0.009208,               0.009208,               0.009208
                     27,                 1.9463,                 1.4666,                 1.3994,                0.52681,                0.56842,                0.54347,                0.27257,                 1.7541,                 1.4396,                 1.3045,               0.009175,               0.009175,               0.009175
